Discipline,ORIS_NO,ENG Description,FRA Description,KOR Description
ALP,C06,Activity List,Liste des activités,활동 리스트
ALP,C08,Competition Schedule,Horaire des compétitions,경기 일정
ALP,C25A,FIS World Cup Standings,Classement de la Coupe du monde de la FIS,FIS 월드컵 랭킹
ALP,C25B,Overall FIS World Cup Standings,Classement général de la Coupe du monde de la FIS,FIS 월드컵 종합 랭킹
ALP,C26A,FIS WCSL List,Liste de départ selon la Coupe du monde de la FIS,FIS WCSL 리스트
ALP,C26B,Overall FIS WCSL List,Liste de départ générale selon la Coupe du monde de la FIS,FIS 월드컵 종합 출발 리스트 
ALP,C30,Number of Entries by NOC,Nombre d'inscriptions par CNO,NOC별 인원 엔트리
ALP,C31A,Entries,Inscriptions,엔트리
ALP,C32C,Entry List by Event,Liste d'inscriptions par épreuve,세부종목별 엔트리 리스트
ALP,C35,Competition Officials,Officiels de compétition,심판
ALP,C38,Entry Data Checklist,Formulaire de contrôle des données d'inscription,엔트리 데이터 체크리스트
ALP,C38C,Entry Data Checklist - Teams,Formulaire de contrôle des données d'inscription - equipes,엔트리 데이터 체크리스트- 팀
ALP,C39,Entry Data Checklist - Competition Officials,Formulaire de contrôle des données d'inscription -officiels de compétition,엔트리 데이터 체크리스트- 심판
ALP,C45,Draw List,Liste des participant(e)s au tirage au sort,대진표 목록
ALP,C46,Draw Cards,Cartes de tirage au sort,대진표 카드
ALP,C48A,Entry Form,Formulaire d'inscription,엔트리 양식
ALP,C48B,Entry Form,Formulaire d'inscription,엔트리 양식
ALP,C49,Weather,Météo,기상
ALP,C51A,Start List,Liste de départ,스타트 리스트
ALP,C51B,Start List,Liste de départ,스타트 리스트
ALP,C51C,Start List,Liste de départ,스타트 리스트
ALP,C51D,Start List,Liste de départ,스타트 리스트
ALP,C67,Official Communication,Communication officielle,공식 전달사항
ALP,C68,Sport Communication,Communication sportive,종목 전달사항
ALP,C71A,Partial Results,Résultats partiels,중간 경기결과
ALP,C71B,Partial Results,Résultats partiels,중간 경기결과
ALP,C72A,Unofficial Results,Résultats non officiels,비공식 경기결과
ALP,C72B,Unofficial Results,Résultats non officiels,비공식 경기결과
ALP,C72C,Unofficial Results,Résultats non officiels,비공식 경기결과
ALP,C72D,Unofficial Results,Résultats non officiels,비공식 경기결과
ALP,C72E,Unofficial Results,Résultats non officiels,비공식 경기결과
ALP,C73A,Official Results,Résultats officiels,공식 경기결과
ALP,C73B,Official Results,Résultats officiels,공식 경기결과
ALP,C73C,Official Results,Résultats officiels,공식 경기결과
ALP,C73D,Official Results,Résultats officiels,공식 경기결과
ALP,C73E,Official Results,Résultats officiels,공식 경기결과
ALP,C73F,Official Results,Résultats officiels,공식 경기결과
ALP,C75,Bracket,Organigramme de progression,대진표
ALP,C77A,Performance Analysis by Rank,Analyse de la performance par rang,랭킹별 퍼포먼스
ALP,C77B,Performance Analysis by Bib,Analyse de la performance par dossard,선수번호별 퍼포먼스 분석
ALP,C77C,Penalty Calculation,Calcul de la pénalité,페널티 산출
ALP,C92A,Medallists,Médaillé(e)s,메달리스트
ALP,C92B,Medallists,Médaillé(e)s,메달리스트
ALP,C93,Medallists by Event,Médaillé(e)s par épreuve,세부종목별 메달리스트
ALP,C95,Medal Standings,Classement des médailles,메달 순위
ALP,N02,Competition Format and Rules,Format et règlement des compétitions,경기 방식 및 규정
ALP,N03,Course Map and Profile,Tracé et profil du parcours,코스 지도 및 프로필
ALP,N10,Medallists from Previous Olympic Winter Games,Médaillé(e)s aux Jeux Olympiques d'hiver précédents,이전 대회 메달리스트
ALP,N11,Medals by NOC,Historique des médailles par CNO,NOC별 메달
ALP,N15,Multi-Medallists,Multimédaillé(e)s,멀티 메달리스트
ALP,N17A,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
ALP,N20,Athlete Biography,Biographie d’athlète,선수 바이오그래피
ALP,N24,NOC Profile,Profil du CNO,NOC 프로필
ALP,N59,Extended Start List,Liste de départ détaillée,상세 스타트리스트
ALP,N86A,History,Histoire du sport,스포츠 역사
ALP,N86B,FIS - Federation Facts,Informations sur la Fédération - FIS,FIS - 연맹 현황
ALP,N86C,Qualification Criteria,Systèmes de qualification,참가 자격 기준
ALP,N86D,Facility Description,Description du site de compétition,시설 정보
ALP,N86E,Media Information,Informations aux médias,미디어 정보
ALP,N86F,Birthdays during the Games,Anniversaires durant les jeux,대회 중 생일
ALP,N87A,Flash Quotes,Déclarations express,플래쉬 코트
ALP,N87B,Quotes of the Day,Citations du jour,오늘의 소감
ALP,N88,Press Conference Highlights,Extraits de la conférence de presse,기자회견 하이라이트
ALP,N89,Preview / Review,Aperçu / La revue,프리뷰/리뷰
ALP,N90A,Media Communication,Communication aux médias,미디어 전달사항
ALP,N90B,News Article,Article de presse,일반 기사
ALP,N90C,IOC News,Actualités du CIO,IOC 뉴스
ALP,N91A,Flower Presenters,Personnalités chargées de la remise des fleurs,꽃다발 수여자
ALP,N91B,Medal Presenters,Personnalités chargées de la remise des médailles,메달 수여자
BOB,C06,Activity List,Liste des activités,활동 리스트
BOB,C07,Training Schedule,Horaire des entraînements,연습 일정
BOB,C08,Competition Schedule,Horaire des compétitions,경기 일정
BOB,C30,Number of Entries by NOC,Nombre d'inscriptions par CNO,NOC별 인원 엔트리
BOB,C31A,Entries,Inscriptions,엔트리
BOB,C31C,Entries by Event,Inscriptions par épreuve,세부종목별 엔트리
BOB,C32A,Entry List by NOC,Liste d'insciptions par CNO,NOC별 엔트리 리스트
BOB,C35,Competition Officials,Officiels de compétition,심판
BOB,C38,Entry Data Checklist,Formulaire de contrôle des données d'inscription,엔트리 데이터 체크리스트
BOB,C45B,Entry Form,Formulaire d'inscription,엔트리 양식
BOB,C48B,Control List,Liste de contrôle,컨트롤 목록
BOB,C49,Weather,Météo,기상
BOB,C51A,Start List,Liste de départ,스타트 리스트
BOB,C51B,Start List,Liste de départ,스타트 리스트
BOB,C67,Official Communication,Communication officielle,공식 전달사항
BOB,C68,Sport Communication,Communication sportive,종목 전달사항
BOB,C72,Unofficial Results,Résultats non officiels,비공식 경기결과
BOB,C73A1,Results,Résultats,경기결과
BOB,C73A2,Results,Résultats,경기결과
BOB,C73B1,Results,Résultats,경기결과
BOB,C73B2,Official Results,Résultats officiels,공식 경기결과
BOB,C77A,Performance Analysis,Analyse de la performance,퍼포먼스 분석
BOB,C77B,Performance Analysis,Analyse de la performance,퍼포먼스 분석
BOB,C81,Records,Records,기록
BOB,C82,Competition Data,Données de compétition,경기 데이터
BOB,C92B,Medallists,Médaillé(e)s,메달리스트
BOB,C93,Medallists by Event,Médaillé(e)s par épreuve,세부종목별 메달리스트
BOB,C95,Medal Standings,Classement des médailles,메달 순위
BOB,C97,IBSF Medal Standings,Classement IBSF par médailles,IBSF 메달 순위
BOB,N02,Competition Format and Rules,Format et règlement des compétitions,경기 방식 및 규정
BOB,N03,Track Information,FRA,트랙 정보
BOB,N10,Medallists from Previous Olympic Winter Games,Médaillé(e)s aux Jeux Olympiques d'hiver précédents,이전 대회 메달리스트
BOB,N11,Medals by NOC,Historique des médailles par CNO,NOC별 메달
BOB,N15,Multi-Medallists,Multimédaillé(e)s,멀티 메달리스트
BOB,N17A,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
BOB,N17B,Results Summary in Last Olympic Cycle,Résumé des résultats au dernier cycle olympique,지난 올림픽 주기 경기결과 요약
BOB,N17C,World Cup Standings,Classement de la coupe du monde,월드컵 순위
BOB,N17D,IBSF World Ranking,Classement mondial de la IBSF,IBSF 세계 순위
BOB,N20,Athlete Biography,Biographie d’athlète,선수 바이오그래피
BOB,N24,NOC Profile,Profil du CNO,NOC 프로필
BOB,N59,Extended Start List,Liste de départ détaillée,상세 스타트리스트
BOB,N86A,History,Histoire du sport,스포츠 역사
BOB,N86B,IBSF - Federation Facts,IBSF,IBSF - 연맹 현황
BOB,N86C,Qualification Criteria,Systèmes de qualification,참가 자격 기준
BOB,N86D,Facility Description,Description du site de compétition,시설 정보
BOB,N86E,Media Information,Informations aux médias,미디어 정보
BOB,N86F,Birthdays during the Games,Anniversaires durant les jeux,대회 중 생일
BOB,N87A,Flash Quotes,Déclarations express,플래쉬 코트
BOB,N87B,Quotes of the Day,Citations du jour,오늘의 소감
BOB,N88,Press Conference Highlights,Extraits de la conférence de presse,기자회견 하이라이트
BOB,N89,Preview / Review,Aperçu / La revue,프리뷰/리뷰
BOB,N90A,Media Communication,Communication aux médias,미디어 전달사항
BOB,N90B,News Article,Article de presse,일반 기사
BOB,N90C,IOC News,Actualités du CIO,IOC 뉴스
BOB,N91A,Flower Presenters,Personnalités chargées de la remise des fleurs,꽃다발 수여자
BOB,N91B,Medal Presenters,Personnalités chargées de la remise des médailles,메달 수여자
BTH,C06,Activity List,Liste des activités,활동 리스트
BTH,C07,Training Schedule,Horaire des entraînements,연습 일정
BTH,C08,Competition Schedule,Horaire des compétitions,경기 일정
BTH,C30,Number of Entries by NOC,Nombre d'inscriptions par CNO,NOC별 인원 엔트리
BTH,C31A,Entries,Inscriptions,엔트리
BTH,C32A,Entry List by NOC,Liste d'insciptions par CNO,NOC별 엔트리 리스트
BTH,C35,Competition Officials,Officiels de compétition,심판
BTH,C38,Entry Data Checklist,Formulaire de contrôle des données d'inscription,엔트리 데이터 체크리스트
BTH,C39,Entry Data Checklist - Competition Officials,Formulaire de contrôle des données d'inscription -officiels de compétition,엔트리 데이터 체크리스트- 심판
BTH,C45A,Entry Form,Formulaire d'inscription,엔트리 양식
BTH,C45A1,Grouping List,Liste de départ par groupe,그룹 목록
BTH,C45C1,Zeroing Allocation,Attribution des lignes pour tir d'essai,영점사격 배치
BTH,C45C2,Range Allocation,Attribution des lignes,사격장 배치
BTH,C45D,Entry Confirmation,Confirmation d'inscription,참가선수 확정
BTH,C49,Weather,Météo,기상
BTH,C51A,Start List,Liste de départ,스타트 리스트
BTH,C51B1,Provisional Start List by NOC,Liste de départ provisoire par CNO,NOC별 예비 스타트 리스트
BTH,C51B2,Start List,Liste de départ,스타트 리스트
BTH,C51C,Start List,Liste de départ,스타트 리스트
BTH,C51C1,Lane Assignment,Attribution des lignes,레인 할당
BTH,C51D1,Qualification Status - Provisional Start List,État de qualification - liste de départ provisoire,출전자격 현황 - 잠정 스타트 리스트
BTH,C51D2,Start List,Liste de départ,스타트 리스트
BTH,C52A,Start List Summary,Liste de départ simplifiée,스타트 리스트 요약
BTH,C52B,Start List Summary,Liste de départ simplifiée,스타트 리스트 요약
BTH,C55,Bib Distribution List by NOC,Liste de distribution des dossards par CNO,NOC별 빕 배포 목록
BTH,C56A,Equipment Control List,Liste de contrôle de l'équipement,장비 관리 목록
BTH,C56B,Equipment Control List - Spare Rifles,Liste de contrôle de l'équipement - carabines de rechange,장비 관리 목록 - 여분 소총
BTH,C67,Official Communication,Communication officielle,공식 전달사항
BTH,C68,Sport Communication,Communication sportive,종목 전달사항
BTH,C72A,Provisional Results,Résultats provisoires,잠정 경기결과
BTH,C72B,Provisional Results,Résultats provisoires,잠정 경기결과
BTH,C72C,Provisional Results,Résultats provisoires,잠정 경기결과
BTH,C72D,Provisional Results,Résultats provisoires,잠정 경기결과
BTH,C72E,Provisional Results,Résultats provisoires,잠정 경기결과
BTH,C73A,Final Results,Résultats définitifs,최종 경기결과
BTH,C73B,Final Results,Résultats définitifs,최종 경기결과
BTH,C73C,Final Results,Résultats définitifs,최종 경기결과
BTH,C73D,Final Results,Résultats définitifs,최종 경기결과
BTH,C73E,Final Results,Résultats définitifs,최종 경기결과
BTH,C76,Participation Summary by NOC,Résumé des participants par CNO,NOC별 참가선수 요약
BTH,C77A,Competition Analysis,Analyse de la compétition,경기 분석
BTH,C77B,Competition Analysis,Analyse de la compétition,경기 분석
BTH,C77C,Competition Analysis,Analyse de la compétition,경기 분석
BTH,C77D,Competition Analysis,Analyse de la compétition,경기 분석
BTH,C82,Final Results - Competition Data Summary,Résultats finaux - résumé des données de compétition,최종 경기결과 - 경기 데이터 요약
BTH,C92A,Medallists,Médaillé(e)s,메달리스트
BTH,C92B,Medallists,Médaillé(e)s,메달리스트
BTH,C93,Medallists by Event,Médaillé(e)s par épreuve,세부종목별 메달리스트
BTH,C95,Medal Standings,Classement des médailles,메달 순위
BTH,N02,Competition Format and Rules,Format et règlement des compétitions,경기 방식 및 규정
BTH,N03,Course Map and Profile,Tracé et profil du parcours,코스 지도 및 프로필
BTH,N10,Medallists from Previous Olympic Winter Games,Médaillé(e)s aux Jeux Olympiques d'hiver précédents,이전 대회 메달리스트
BTH,N11,Medals by NOC,Historique des médailles par CNO,NOC별 메달
BTH,N15,Multi-Medallists,Multimédaillé(e)s,멀티 메달리스트
BTH,N17A1,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
BTH,N17A2,Results in Last Olympic Cycle,Résultats au dernier cycle olympique,지난 올림픽 주기 경기결과
BTH,N17A3,Current World Cup Scores,Classement de coupe du monde,현 월드컵 점수
BTH,N17A4,Current World Cup Scores,Classement de coupe du monde - Relais,현 월드컵 점수
BTH,N20,Athlete Biography,Biographie d’athlète,선수 바이오그래피
BTH,N24,NOC Profile,Profil du CNO,NOC 프로필
BTH,N59A,Extended Start List,Liste de départ détaillée,상세 스타트리스트
BTH,N59B,Extended Start List,Liste de départ détaillée,상세 스타트리스트
BTH,N59B1,Extended Start List by Leg,Liste de départ détaillée par relais,주자별 상세 스타트리스트
BTH,N86A,History,Histoire du sport,스포츠 역사
BTH,N86B,IBU - Federation Facts,Informations sur la Fédération - IBU,IBU - 연맹 현황
BTH,N86C,Qualification Criteria,Systèmes de qualification,참가 자격 기준
BTH,N86D,Facility Description,Description du site de compétition,시설 정보
BTH,N86E,Media Information,Informations aux médias,미디어 정보
BTH,N86F,Birthdays during the Games,Anniversaires durant les jeux,대회 중 생일
BTH,N87A,Flash Quotes,Déclarations express,플래쉬 코트
BTH,N87B,Quotes of the Day,Citations du jour,오늘의 소감
BTH,N88,Press Conference Highlights,Extraits de la conférence de presse,기자회견 하이라이트
BTH,N89,Preview / Review,Aperçu / La revue,프리뷰/리뷰
BTH,N90A,Media Communication,Communication aux médias,미디어 전달사항
BTH,N90B,News Article,Article de presse,일반 기사
BTH,N90C,IOC News,Actualités du CIO,IOC 뉴스
BTH,N91A,Flower Presenters,Personnalités chargées de la remise des fleurs,꽃다발 수여자
BTH,N91B,Medal Presenters,Personnalités chargées de la remise des médailles,메달 수여자
CCS,C06,Activity List,Liste des activités,활동 리스트
CCS,C07,Training Schedule,Horaire des entraînements,연습 일정
CCS,C08,Competition Schedule,Horaire des compétitions,경기 일정
CCS,C30,Number of Entries by NOC,Nombre d'inscriptions par CNO,NOC별 인원 엔트리
CCS,C31A,Entries,Inscriptions,엔트리
CCS,C32A,Entry List by NOC,Liste d'insciptions par CNO,NOC별 엔트리 리스트
CCS,C35,Competition Officials,Officiels de compétition,심판
CCS,C38,Entry Data Checklist,Formulaire de contrôle des données d'inscription,엔트리 데이터 체크리스트
CCS,C38C,Entry Data Checklist - Teams,Formulaire de contrôle des données d'inscription - equipes,엔트리 데이터 체크리스트- 팀
CCS,C39,Entry Data Checklist - Competition Officials,Formulaire de contrôle des données d'inscription -officiels de compétition,엔트리 데이터 체크리스트- 심판
CCS,C45A,Entry Form,Formulaire d'inscription,엔트리 양식
CCS,C45B,Relay Entry Form,Formulaire d'inscription pour le relais,계주 엔트리 양식
CCS,C45C,Team Sprint Entry Form,Formulaire d'inscription pour le sprint par équipe,팀 스프린트 엔트리 양식
CCS,C49,Weather,Météo,기상
CCS,C50A,Individual Entry Checklist,Liste de vérifications des inscriptions individuelles,개인 엔트리 체크리스트
CCS,C50B,Individual Entry Checklist,Liste de vérifications des inscriptions individuelles,개인 엔트리 체크리스트
CCS,C50C,Relay Entry Checklist,Liste de vérifications des inscriptions au relais,계주 엔트리 체크리스트
CCS,C50D,Team Sprint Entry Checklist,Liste de vérifications des inscriptions au sprint par équipe,팀 스프린트 엔트리 체크리스트
CCS,C51A,Start List,Liste de départ,스타트 리스트
CCS,C51C,Start List,Liste de départ,스타트 리스트
CCS,C51D1,Start List,Liste de départ,스타트 리스트
CCS,C51E,Start List,Liste de départ,스타트 리스트
CCS,C51F,Start List,Liste de départ,스타트 리스트
CCS,C55,Bib Distribution List by NOC,Liste de distribution des dossards par CNO,NOC별 빕 배포 목록
CCS,C67,Official Communication,Communication officielle,공식 전달사항
CCS,C68,Sport Communication,Communication sportive,종목 전달사항
CCS,C71B,Unofficial Partial Results,Résultats partiels non officiels,비공식 부분 경기결과
CCS,C71E,Unofficial Partial Results,Résultats partiels non officiels,비공식 부분 경기결과
CCS,C72A,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72B,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72C,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72D1,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72D3,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72E,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72F2,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C72F3,Unofficial Results,Résultats non officiels,비공식 경기결과
CCS,C73A,Results,Résultats,경기결과
CCS,C73B,Results,Résultats,경기결과
