Id,ENG Description,FRA Description,KOR Description,ENG longdescription,FRA longdescription,KOR longdescription
ALP,Alpine Skiing,Ski alpin,알파인 스키,Alpine Skiing,Ski alpin,알파인 스키
BOB,Bobsleigh,Bobsleigh,봅슬레이,Bobsleigh,Bobsleigh,봅슬레이
BTH,Biathlon,Biathlon,바이애슬론,Biathlon,Biathlon,바이애슬론
CCS,Cross-Country Skiing,Ski de fond,크로스 컨트리 스키,Cross-Country Skiing,Ski de fond,크로스 컨트리 스키
CUR,Curling,Curling,컬링,Curling,Curling,컬링
FRS,Freestyle Skiing,Ski acrobatique,프리스타일 스키,Freestyle Skiing,Ski acrobatique,프리스타일 스키
FSK,Figure Skating,Patinage artistique,피겨 스케이팅,Figure Skating,Patinage artistique,피겨 스케이팅
GEN,General,Comptes rendus généraux,일반,General,Comptes rendus généraux,일반
IHO,Ice Hockey,Hockey sur glace,아이스 하키,Ice Hockey,Hockey sur glace,아이스 하키
LUG,Luge,Luge,루지,Luge,Luge,루지
NCB,Nordic Combined,Combiné nordique,노르딕 복합,Nordic Combined,Combiné nordique,노르딕 복합
SBD,Snowboard,Snowboard,스노보드,Snowboard,Snowboard,스노보드
SJP,Ski Jumping,Saut à ski,스키점프,Ski Jumping,Saut à ski,스키점프
SKN,Skeleton,Skeleton,스켈레톤,Skeleton,Skeleton,스켈레톤
SSK,Speed Skating,Patinage de vitesse,스피드 스케이팅,Speed Skating,Patinage de vitesse,스피드 스케이팅
STK,Short Track Speed Skating,Short-track,쇼트트랙 스피드 스케이팅,Short Track Speed Skating,Short-track,쇼트트랙 스피드 스케이팅
