Id,ENG Description,POR Description,ENG longdescription,POR longdescription
AR,Archery,Tiro com Arco,Archery,Tiro com Arco
AT,Athletics,Atletismo,Athletics,Atletismo
BO,Boccia,Bocha,Boccia,Bocha
CF,Canoe Sprint,Canoagem Velocidade,Canoe Sprint,Canoagem Velocidade
CR,Cycling Road,Ciclismo de Estrada,Cycling Road,Ciclismo de Estrada
CT,Cycling Track,Ciclismo de Pista,Cycling Track,Ciclismo de Pista
EQ,Equestrian,Hipismo,Equestrian,Hipismo
FB,Football 5-a-side,Futebol de 5,Football 5-a-side,Futebol de 5
FT,Football 7-a-side,Futebol de 7,Football 7-a-side,Futebol de 7
GB,Goalball,Goalball,Goalball,Goalball
GL,General,Geral,General,Geral
JU,Judo,Judô,Judo,Judô
PO,Powerlifting,Halterofilismo,Powerlifting,Halterofilismo
RO,Rowing,Remo,Rowing,Remo
SA,Sailing,Vela,Sailing,Vela
SH,Shooting,Tiro Esportivo,Shooting,Tiro Esportivo
SW,Swimming,Natação,Swimming,Natação
TR,Triathlon,Triatlo,Triathlon,Triatlo
TT,Table Tennis,Tênis de Mesa,Table Tennis,Tênis de Mesa
VS,Sitting Volleyball,Voleibol Sentado,Sitting Volleyball,Voleibol Sentado
WB,Wheelchair Basketball,Basquetebol Cadeira de Rodas,Wheelchair Basketball,Basquetebol em Cadeira de Rodas
WF,Wheelchair Fencing,Esgrima em Cadeira de Rodas,Wheelchair Fencing,Esgrima em Cadeira de Rodas
WR,Wheelchair Rugby,Rugby em Cadeira de Rodas,Wheelchair Rugby,Rugby em Cadeira de Rodas
WT,Wheelchair Tennis,Tênis em Cadeira de Rodas,Wheelchair Tennis,Tênis em Cadeira de Rodas
